product_id,product_name,brand,model_series,ram_capacity,rom_capacity,original_price,sale_price,stock_status,product_status,source_site,crawl_date
1068287,Samsung Galaxy S26 5G 12GB 256GB,Samsung,Samsung Galaxy S26,12 GB,256 GB,20590000,20590000,In Stock,Active,cellphones.com.vn,6/21/2026 3:29
6239240,Xiaomi 17T Pro 5G 12GB 512GB,Xiaomi,Xiaomi 17T Pro,12 GB,512 GB,20490000,20490000,In Stock,Active,cellphones.com.vn,6/21/2026 3:29
7671684,OPPO Find X9s 12GB 256GB,OPPO,OPPO Find X9s,12 GB,256 GB,23990000,23990000,In Stock,Active,cellphones.com.vn,6/21/2026 3:29
3143389,HONOR 400 Pro 5G 12GB 512GB ,HONOR,HONOR 400 Pro,12 GB,512 GB,14990000,14990000,In Stock,Active,cellphones.com.vn,6/21/2026 3:29
8931046,HONOR X7d 8GB 128GB,HONOR,HONOR X7d,8 GB,128 GB,6090000,6090000,In Stock,Active,cellphones.com.vn,6/21/2026 3:29
9246284,iPhone 17 Pro 256GB | Chính hãng,Apple,iPhone 17 Pro,N/A,256 GB,33790000,33790000,In Stock,Active,cellphones.com.vn,6/21/2026 3:29
430219,OPPO Reno15 F 5G 8GB 256GB,OPPO,OPPO Reno15 F,8 GB,256 GB,11990000,11990000,In Stock,Active,cellphones.com.vn,6/21/2026 3:29
5078883,Nubia Neo 5 5G 8GB 128GB,Nubia,Nubia Neo 5,8 GB,128 GB,6990000,6990000,In Stock,Active,cellphones.com.vn,6/21/2026 3:29
7096228,OPPO Find X9 Ultra 12GB 512GB,OPPO,OPPO Find X9 Ultra,12 GB,512 GB,48990000,48990000,In Stock,Active,cellphones.com.vn,6/21/2026 3:29
9973208,Xiaomi 17T 5G 12GB 512GB,Xiaomi,Xiaomi 17T,12 GB,512 GB,16990000,16990000,In Stock,Active,cellphones.com.vn,6/21/2026 3:29
1935594,TECNO Spark Go 3 4GB 64GB,Tecno,TECNO Spark Go 3,4 GB,64 GB,3090000,3090000,In Stock,Active,cellphones.com.vn,6/21/2026 3:29
4650506,iPhone 15 128GB | Chính hãng VN/A,Apple,iPhone 15,6 GB,128 GB,17990000,17990000,In Stock,Active,cellphones.com.vn,6/21/2026 3:29
9584753,Samsung Galaxy S25 Ultra 12GB 256GB,Samsung,Samsung Galaxy S25 Ultra,12 GB,256 GB,26990000,26990000,In Stock,Active,cellphones.com.vn,6/21/2026 3:29
8582253,Xiaomi POCO F8 Pro 5G 12GB 256GB,Xiaomi,Xiaomi POCO F8 Pro,12 GB,256 GB,14490000,14490000,In Stock,Active,cellphones.com.vn,6/21/2026 3:29
8246911,iPhone 17 256GB | Chính hãng,Apple,iPhone 17,N/A,256 GB,23990000,23990000,In Stock,Active,cellphones.com.vn,6/21/2026 3:30
4259914,HONOR X8d 8GB 128GB,HONOR,HONOR X8d,8 GB,128 GB,7090000,7090000,In Stock,Active,cellphones.com.vn,6/21/2026 3:30
3184640,Xiaomi Redmi Note 14 Pro Plus 5G 8GB 256GB,Xiaomi,Xiaomi Redmi Note 14 Pro Plus,8 GB,256 GB,7990000,7990000,In Stock,Active,cellphones.com.vn,6/21/2026 3:30
5336378,iPhone 17 Pro Max 256GB | Chính hãng,Apple,iPhone 17 Pro Max,N/A,256 GB,35990000,35990000,In Stock,Active,cellphones.com.vn,6/21/2026 3:30
