PROD_CEL_100002,Dien thoai Realme Realme Note 50 8GB/128GB - Moi 100%,Realme,Realme Note 50,8GB,128GB,30390000,30390000,Con hang,Moi 100%,CellphoneS,6/11/2026
PROD_CEL_100003,Dien thoai Xiaomi Poco X6 Pro 8GB/128GB - Moi 100%,Xiaomi,Poco X6 Pro,8GB,128GB,38040000,38040000,Het hang,Moi 100%,CellphoneS,6/11/2026
PROD_CEL_100004,Dien thoai Xiaomi Redmi Note 13 4GB/1TB - Moi 100%,Xiaomi,Redmi Note 13,4GB,1TB,39990000,39490000,Con hang,Moi 100%,CellphoneS,6/11/2026
PROD_CEL_100008,Dien thoai Realme Realme 12 Rest 16GB/256GB - Moi 100%,Realme,Realme 12 Rest,16GB,256GB,41730000,41730000,Con hang,Moi 100%,CellphoneS,6/11/2026
PROD_CEL_100014,Dien thoai Vivo X100 Pro 6GB/256GB - Moi 100%,Vivo,X100 Pro,6GB,256GB,30030000,29030000,Con hang,Moi 100%,CellphoneS,6/11/2026
PROD_CEL_100017,Dien thoai Realme Realme C65 6GB/512GB - Moi 100%,Realme,Realme C65,6GB,512GB,33280000,31280000,Con hang,Moi 100%,CellphoneS,6/11/2026
PROD_CEL_100023,Dien thoai Vivo V30 5G 12GB/256GB - Moi 100%,Vivo,V30 5G,12GB,256GB,43170000,43170000,Con hang,Moi 100%,CellphoneS,6/11/2026
PROD_CEL_100024,Dien thoai Xiaomi Xiaomi 14 12GB/1TB - Hang trung bay,Xiaomi,Xiaomi 14,12GB,1TB,38650000,36650000,Het hang,Hang trung bay,CellphoneS,6/11/2026
PROD_CEL_100028,Dien thoai Vivo X100 Pro 6GB/512GB - Moi 100%,Vivo,X100 Pro,6GB,512GB,36770000,34770000,Con hang,Moi 100%,CellphoneS,6/11/2026
PROD_CEL_100030,Dien thoai Realme Realme C65 6GB/256GB - Moi 100%,Realme,Realme C65,6GB,256GB,38030000,37030000,Con hang,Moi 100%,CellphoneS,6/11/2026
PROD_CEL_100031,Dien thoai Samsung Galaxy S24 Ultra 12GB/1TB - Moi 100%,Samsung,Galaxy S24 Ultra,12GB,1TB,43190000,41190000,Con hang,Moi 100%,CellphoneS,6/11/2026
PROD_CEL_100033,Dien thoai Xiaomi Xiaomi 14 6GB/1TB - Da kich hoat,Xiaomi,Xiaomi 14,6GB,1TB,31910000,30910000,Con hang,Da kich hoat,CellphoneS,6/11/2026
PROD_CEL_100034,Dien thoai Realme Realme C65 16GB/1TB - Moi 100%,Realme,Realme C65,16GB,1TB,44880000,42880000,Con hang,Moi 100%,CellphoneS,6/11/2026
PROD_CEL_100036,Dien thoai Samsung Galaxy A55 8GB/256GB - Moi 100%,Samsung,Galaxy A55,8GB,256GB,37240000,36240000,Het hang,Moi 100%,CellphoneS,6/11/2026
PROD_CEL_100037,Dien thoai Vivo Y100 12GB/128GB - Moi 100%,Vivo,Y100,12GB,128GB,43650000,43650000,Con hang,Moi 100%,CellphoneS,6/11/2026
PROD_CEL_100039,Dien thoai Xiaomi Redmi Note 13 4GB/64GB - Da kich hoat,Xiaomi,Redmi Note 13,4GB,64GB,38820000,38820000,Con hang,Da kich hoat,CellphoneS,6/11/2026
PROD_CEL_100043,Dien thoai Oppo Reno11 F 16GB/128GB - Moi 100%,Oppo,Reno11 F,16GB,128GB,41780000,41780000,Con hang,Moi 100%,CellphoneS,6/11/2026
PROD_CEL_100046,Dien thoai Realme Realme C65 12GB/64GB - Moi 100%,Realme,Realme C65,12GB,64GB,44940000,44940000,Het hang,Moi 100%,CellphoneS,6/11/2026
PROD_CEL_100047,Dien thoai Apple iPhone 14 Pro 12GB/64GB - Moi 100%,Apple,iPhone 14 Pro,12GB,64GB,44340000,44340000,Con hang,Moi 100%,CellphoneS,6/11/2026
PROD_CEL_100049,Dien thoai Samsung Galaxy Z Fold6 8GB/128GB - Moi 100%,Samsung,Galaxy Z Fold6,8GB,128GB,36870000,36370000,Con hang,Moi 100%,CellphoneS,6/11/2026
PROD_CEL_100050,Dien thoai Xiaomi Redmi Note 13 6GB/512GB - Moi 100%,Xiaomi,Redmi Note 13,6GB,512GB,37020000,36520000,Con hang,Moi 100%,CellphoneS,6/11/2026
PROD_CEL_100052,Dien thoai Samsung Galaxy Z Fold6 12GB/128GB - Moi 100%,Samsung,Galaxy Z Fold6,12GB,128GB,30600000,29600000,Con hang,Moi 100%,CellphoneS,6/11/2026
PROD_CEL_100055,Dien thoai Vivo V30 5G 16GB/256GB - Moi 100%,Vivo,V30 5G,16GB,256GB,32540000,32540000,Con hang,Moi 100%,CellphoneS,6/11/2026
PROD_CEL_100057,Dien thoai Oppo Find N3 Flip 16GB/1TB - Moi 100%,Oppo,Find N3 Flip,16GB,1TB,30850000,29850000,Con hang,Moi 100%,CellphoneS,6/11/2026
PROD_CEL_100058,Dien thoai Realme Realme C65 6GB/128GB - Moi 100%,Realme,Realme C65,6GB,128GB,31380000,29380000,Con hang,Moi 100%,CellphoneS,6/11/2026
PROD_CEL_100060,Dien thoai Xiaomi Xiaomi 14 12GB/64GB - Moi 100%,Xiaomi,Xiaomi 14,12GB,64GB,37660000,36660000,Het hang,Moi 100%,CellphoneS,6/11/2026
PROD_CEL_100061,Dien thoai Vivo Y100 12GB/64GB - Moi 100%,Vivo,Y100,12GB,64GB,40990000,40990000,Con hang,Moi 100%,CellphoneS,6/11/2026
PROD_CEL_100063,Dien thoai Vivo X100 Pro 4GB/512GB - Moi 100%,Vivo,X100 Pro,4GB,512GB,33480000,32980000,Con hang,Moi 100%,CellphoneS,6/11/2026
PROD_CEL_100064,Dien thoai Vivo X100 Pro 6GB/128GB - Moi 100%,Vivo,X100 Pro,6GB,128GB,31140000,31140000,Het hang,Moi 100%,CellphoneS,6/11/2026
PROD_CEL_100068,Dien thoai Apple iPhone 13 4GB/1TB - Moi 100%,Apple,iPhone 13,4GB,1TB,41270000,40770000,Con hang,Moi 100%,CellphoneS,6/11/2026
PROD_CEL_100069,Dien thoai Realme Realme 12 Rest 8GB/64GB - Moi 100%,Realme,Realme 12 Rest,8GB,64GB,38920000,37920000,Con hang,Moi 100%,CellphoneS,6/11/2026
PROD_CEL_100070,Dien thoai Xiaomi Poco X6 Pro 8GB/64GB - Moi 100%,Xiaomi,Poco X6 Pro,8GB,64GB,32670000,32170000,Con hang,Moi 100%,CellphoneS,6/11/2026
PROD_CEL_100074,Dien thoai Realme Realme C65 6GB/64GB - Moi 100%,Realme,Realme C65,6GB,64GB,33440000,33440000,Con hang,Moi 100%,CellphoneS,6/11/2026
PROD_CEL_100075,Dien thoai Samsung Galaxy A55 12GB/128GB - Moi 100%,Samsung,Galaxy A55,12GB,128GB,31410000,30410000,Con hang,Moi 100%,CellphoneS,6/11/2026
PROD_CEL_100076,Dien thoai Realme Realme Note 50 4GB/64GB - Moi 100%,Realme,Realme Note 50,4GB,64GB,37250000,36750000,Con hang,Moi 100%,CellphoneS,6/11/2026
PROD_CEL_100077,Dien thoai Vivo Y100 8GB/256GB - Moi 100%,Vivo,Y100,8GB,256GB,40740000,39740000,Het hang,Moi 100%,CellphoneS,6/11/2026
PROD_CEL_100079,Dien thoai Vivo X100 Pro 4GB/512GB - Moi 100%,Vivo,X100 Pro,4GB,512GB,32260000,31760000,Con hang,Moi 100%,CellphoneS,6/11/2026
PROD_CEL_100081,Dien thoai Samsung Galaxy S24 Ultra 4GB/256GB - Moi 100%,Samsung,Galaxy S24 Ultra,4GB,256GB,35000000,34500000,Con hang,Moi 100%,CellphoneS,6/11/2026
PROD_CEL_100082,Dien thoai Vivo Y100 6GB/64GB - Moi 100%,Vivo,Y100,6GB,64GB,37790000,37290000,Con hang,Moi 100%,CellphoneS,6/11/2026
