product_id,product_name,brand,model_series,ram_capacity,rom_capacity,original_price,sale_price,stock_status,product_status,source_site,crawl_date
PROD_TGD_100001,Dien thoai Vivo Y100 4GB/256GB - Moi 100%,Vivo,Y100,4GB,256GB,37290000.0,36290000.0,Het hang,Moi 100%,TGDD,2026-06-11
PROD_CEL_100002,Dien thoai Realme Realme Note 50 8GB/128GB - Moi 100%,Realme,Realme Note 50,8GB,128GB,30390000.0,30390000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_CEL_100003,Dien thoai Xiaomi Poco X6 Pro 8GB/128GB - Moi 100%,Xiaomi,Poco X6 Pro,8GB,128GB,38040000.0,38040000.0,Het hang,Moi 100%,CellphoneS,2026-06-11
PROD_CEL_100004,Dien thoai Xiaomi Redmi Note 13 4GB/1TB - Moi 100%,Xiaomi,Redmi Note 13,4GB,1TB,39990000.0,39490000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_TGD_100005,Dien thoai Realme Realme C65 8GB/512GB - Moi 100%,Realme,Realme C65,8GB,512GB,34760000.0,34260000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_TGD_100006,Dien thoai Realme Realme C65 4GB/512GB - Moi 100%,Realme,Realme C65,4GB,512GB,43760000.0,42760000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_TGD_100007,Dien thoai Realme Realme Note 50 12GB/1TB - Hang trung bay,Realme,Realme Note 50,12GB,1TB,32290000.0,31790000.0,Con hang,Hang trung bay,TGDD,2026-06-11
PROD_CEL_100008,Dien thoai Realme Realme 12 Rest 16GB/256GB - Moi 100%,Realme,Realme 12 Rest,16GB,256GB,41730000.0,41730000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_TGD_100009,Dien thoai Oppo Find N3 Flip 6GB/256GB - Moi 100%,Oppo,Find N3 Flip,6GB,256GB,32840000.0,30840000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_TGD_100010,Dien thoai Xiaomi Xiaomi 14 12GB/64GB - Moi 100%,Xiaomi,Xiaomi 14,12GB,64GB,39720000.0,39720000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_TGD_100011,Dien thoai Oppo Find N3 Flip 4GB/128GB - Moi 100%,Oppo,Find N3 Flip,4GB,128GB,43330000.0,42830000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_TGD_100012,Dien thoai Samsung Galaxy A55 4GB/1TB - Moi 100%,Samsung,Galaxy A55,4GB,1TB,34190000.0,33190000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_TGD_100013,Dien thoai Oppo A78 12GB/128GB - Moi 100%,Oppo,A78,12GB,128GB,40820000.0,38820000.0,Het hang,Moi 100%,TGDD,2026-06-11
PROD_CEL_100014,Dien thoai Vivo X100 Pro 6GB/256GB - Moi 100%,Vivo,X100 Pro,6GB,256GB,30030000.0,29030000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_TGD_100015,Dien thoai Xiaomi Xiaomi 14 6GB/128GB - Moi 100%,xiaomi,Xiaomi 14,6GB,128GB,39920000.0,37920000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_TGD_100016,Dien thoai Xiaomi Xiaomi 14 12GB/64GB - Moi 100%,Xiaomi,Xiaomi 14,12GB,64GB,34520000.0,32520000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_CEL_100017,Dien thoai Realme Realme C65 6GB/512GB - Moi 100%,Realme,Realme C65,6GB,512GB,33280000.0,31280000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_TGD_100018,Dien thoai Xiaomi Xiaomi 14 12GB/512GB - Moi 100%,Xiaomi,Xiaomi 14,12GB,512GB,35310000.0,33310000.0,Het hang,Moi 100%,TGDD,2026-06-11
PROD_TGD_100019,Dien thoai Vivo Y100 16GB/64GB - Moi 100%,Vivo,Y100,16GB,64GB,41290000.0,40290000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_TGD_100020,Dien thoai Apple iPhone 13 4GB/128GB - Moi 100%,Apple,iPhone 13,4GB,128GB,32630000.0,32630000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_TGD_100021,Dien thoai Samsung Galaxy A55 16GB/64GB - Moi 100%,Samsung,Galaxy A55,16GB,64GB,44150000.0,44150000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_TGD_100022,Dien thoai Xiaomi Poco X6 Pro 6GB/64GB - Moi 100%,Xiaomi,Poco X6 Pro,6GB,64GB,43090000.0,41090000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_CEL_100023,Dien thoai Vivo V30 5G 12GB/256GB - Moi 100%,Vivo,V30 5G,12GB,256GB,43170000.0,43170000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_CEL_100024,Dien thoai Xiaomi Xiaomi 14 12GB/1TB - Hang trung bay,Xiaomi,Xiaomi 14,12GB,1TB,38650000.0,36650000.0,Het hang,Hang trung bay,CellphoneS,2026-06-11
PROD_TGD_100025,Dien thoai Vivo Y100 8GB/512GB - Moi 100%,Vivo,Y100,8GB,512GB,40200000.0,39200000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_TGD_100026,Dien thoai Samsung Galaxy Z Fold6 4GB/1TB - Moi 100%,Samsung,Galaxy Z Fold6,4GB,1TB,30980000.0,28980000.0,Het hang,Moi 100%,TGDD,2026-06-11
PROD_TGD_100027,Dien thoai Xiaomi Xiaomi 14 8GB/128GB - Moi 100%,Xiaomi,Xiaomi 14,8GB,128GB,30010000.0,28010000.0,Het hang,Moi 100%,TGDD,2026-06-11
PROD_CEL_100028,Dien thoai Vivo X100 Pro 6GB/512GB - Moi 100%,Vivo,X100 Pro,6GB,512GB,36770000.0,34770000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_TGD_100029,Dien thoai Apple iPhone 13 4GB/256GB - Da kich hoat,Apple,iPhone 13,4GB,256GB,40250000.0,39750000.0,Con hang,Da kich hoat,TGDD,2026-06-11
PROD_CEL_100030,Dien thoai Realme Realme C65 6GB/256GB - Moi 100%,realme,Realme C65,6GB,256GB,38030000.0,37030000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_CEL_100031,Dien thoai Samsung Galaxy S24 Ultra 12GB/1TB - Moi 100%,Samsung,Galaxy S24 Ultra,12GB,1TB,43190000.0,41190000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_TGD_100032,Dien thoai Xiaomi Xiaomi 14 8GB/256GB - Moi 100%,Xiaomi,Xiaomi 14,8GB,256GB,43710000.0,43710000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_CEL_100033,Dien thoai Xiaomi Xiaomi 14 6GB/1TB - Da kich hoat,Xiaomi,Xiaomi 14,6GB,1TB,31910000.0,30910000.0,Con hang,Da kich hoat,CellphoneS,2026-06-11
PROD_CEL_100034,Dien thoai Realme Realme C65 16GB/1TB - Moi 100%,Realme,Realme C65,16GB,1TB,44880000.0,42880000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_TGD_100035,Dien thoai Realme Realme C65 8GB/128GB - Moi 100%,Realme,Realme C65,8GB,128GB,40090000.0,38090000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_CEL_100036,Dien thoai Samsung Galaxy A55 8GB/256GB - Moi 100%,Samsung,Galaxy A55,8GB,256GB,37240000.0,36240000.0,Het hang,Moi 100%,CellphoneS,2026-06-11
PROD_CEL_100037,Dien thoai Vivo Y100 12GB/128GB - Moi 100%,Vivo,Y100,12GB,128GB,43650000.0,43650000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_TGD_100038,Dien thoai Samsung Galaxy A55 16GB/128GB - Hang trung bay,Samsung,Galaxy A55,16GB,128GB,36600000.0,35600000.0,Het hang,Hang trung bay,TGDD,2026-06-11
PROD_CEL_100039,Dien thoai Xiaomi Redmi Note 13 4GB/64GB - Da kich hoat,Xiaomi,Redmi Note 13,4GB,64GB,38820000.0,38820000.0,Con hang,Da kich hoat,CellphoneS,2026-06-11
PROD_TGD_100040,Dien thoai Realme Realme C65 6GB/128GB - Moi 100%,Realme,Realme C65,6GB,128GB,34300000.0,32300000.0,Het hang,Moi 100%,TGDD,2026-06-11
PROD_TGD_100041,Dien thoai Realme Realme 12 Rest 12GB/1TB - Moi 100%,Realme,Realme 12 Rest,12GB,1TB,34540000.0,34040000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_TGD_100042,Dien thoai Realme Realme Note 50 12GB/512GB - Hang trung bay,Realme,Realme Note 50,12GB,512GB,34890000.0,34890000.0,Con hang,Hang trung bay,TGDD,2026-06-11
PROD_CEL_100043,Dien thoai Oppo Reno11 F 16GB/128GB - Moi 100%,Oppo,Reno11 F,16GB,128GB,41780000.0,41780000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_TGD_100044,Dien thoai Realme Realme Note 50 16GB/256GB - Moi 100%,Realme,Realme Note 50,16GB,256GB,30770000.0,30270000.0,Het hang,Moi 100%,TGDD,2026-06-11
PROD_CEL_100045,Dien thoai Apple iPhone 15 Pro Max 16GB/128GB - Moi 100%,apple,iPhone 15 Pro Max,16GB,128GB,39590000.0,,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_CEL_100046,Dien thoai Realme Realme C65 12GB/64GB - Moi 100%,Realme,Realme C65,12GB,64GB,44940000.0,44940000.0,Het hang,Moi 100%,CellphoneS,2026-06-11
PROD_CEL_100047,Dien thoai Apple iPhone 14 Pro 12GB/64GB - Moi 100%,Apple,iPhone 14 Pro,12GB,64GB,44340000.0,44340000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_TGD_100048,Dien thoai Apple iPhone 13 12GB/128GB - Moi 100%,Apple,iPhone 13,12GB,128GB,38300000.0,37300000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_CEL_100049,Dien thoai Samsung Galaxy Z Fold6 8GB/128GB - Moi 100%,Samsung,Galaxy Z Fold6,8GB,128GB,36870000.0,36370000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_CEL_100050,Dien thoai Xiaomi Redmi Note 13 6GB/512GB - Moi 100%,Xiaomi,Redmi Note 13,6GB,512GB,37020000.0,36520000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_TGD_100051,Dien thoai Oppo A78 12GB/64GB - Moi 100%,Oppo,A78,12GB,64GB,35230000.0,33230000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_CEL_100052,Dien thoai Samsung Galaxy Z Fold6 12GB/128GB - Moi 100%,Samsung,Galaxy Z Fold6,12GB,128GB,30600000.0,29600000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_TGD_100053,Dien thoai Samsung Galaxy Z Fold6 12GB/256GB - Moi 100%,Samsung,Galaxy Z Fold6,12GB,256GB,40080000.0,39080000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_TGD_100054,Dien thoai Samsung Galaxy A55 8GB/256GB - Moi 100%,Samsung,Galaxy A55,8GB,256GB,36780000.0,36780000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_CEL_100055,Dien thoai Vivo V30 5G 16GB/256GB - Moi 100%,Vivo,V30 5G,16GB,256GB,32540000.0,32540000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_TGD_100056,Dien thoai Realme Realme C65 8GB/256GB - Moi 100%,Realme,Realme C65,8GB,256GB,31710000.0,31710000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_CEL_100057,Dien thoai Oppo Find N3 Flip 16GB/1TB - Moi 100%,Oppo,Find N3 Flip,16GB,1TB,30850000.0,29850000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_CEL_100058,Dien thoai Realme Realme C65 6GB/128GB - Moi 100%,Realme,Realme C65,6GB,128GB,31380000.0,29380000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_TGD_100059,Dien thoai Oppo A78 4GB/128GB - Moi 100%,Oppo,A78,4GB,128GB,32520000.0,30520000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_CEL_100060,Dien thoai Xiaomi Xiaomi 14 12GB/64GB - Moi 100%,xiaomi,Xiaomi 14,12GB,64GB,37660000.0,36660000.0,Het hang,Moi 100%,CellphoneS,2026-06-11
PROD_CEL_100061,Dien thoai Vivo Y100 12GB/64GB - Moi 100%,Vivo,Y100,12GB,64GB,40990000.0,40990000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_TGD_100062,Dien thoai Oppo A78 6GB/128GB - Moi 100%,Oppo,A78,6GB,128GB,41360000.0,39360000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_CEL_100063,Dien thoai Vivo X100 Pro 4GB/512GB - Moi 100%,Vivo,X100 Pro,4GB,512GB,33480000.0,32980000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_CEL_100064,Dien thoai Vivo X100 Pro 6GB/128GB - Moi 100%,Vivo,X100 Pro,6GB,128GB,31140000.0,31140000.0,Het hang,Moi 100%,CellphoneS,2026-06-11
PROD_TGD_100065,Dien thoai Vivo V30 5G 6GB/256GB - Moi 100%,Vivo,V30 5G,6GB,256GB,39450000.0,39450000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_TGD_100066,Dien thoai Vivo V30 5G 16GB/64GB - Moi 100%,Vivo,V30 5G,16GB,64GB,43260000.0,42760000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_TGD_100067,Dien thoai Realme Realme Note 50 8GB/64GB - Moi 100%,Realme,Realme Note 50,8GB,64GB,35160000.0,34660000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_CEL_100068,Dien thoai Apple iPhone 13 4GB/1TB - Moi 100%,Apple,iPhone 13,4GB,1TB,41270000.0,40770000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_CEL_100069,Dien thoai Realme Realme 12 Rest 8GB/64GB - Moi 100%,Realme,Realme 12 Rest,8GB,64GB,38920000.0,37920000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_CEL_100070,Dien thoai Xiaomi Poco X6 Pro 8GB/64GB - Moi 100%,Xiaomi,Poco X6 Pro,8GB,64GB,32670000.0,32170000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_TGD_100071,Dien thoai Samsung Galaxy Z Fold6 6GB/512GB - Moi 100%,Samsung,Galaxy Z Fold6,6GB,512GB,42980000.0,41980000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_TGD_100072,Dien thoai Vivo V30 5G 16GB/512GB - Moi 100%,Vivo,V30 5G,16GB,512GB,34750000.0,34250000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_TGD_100073,Dien thoai Realme Realme C65 12GB/128GB - Moi 100%,Realme,Realme C65,12GB,128GB,43380000.0,42880000.0,Con hang,Moi 100%,TGDD,2026-06-11
PROD_CEL_100074,Dien thoai Realme Realme C65 6GB/64GB - Moi 100%,Realme,Realme C65,6GB,64GB,33440000.0,33440000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
PROD_CEL_100075,Dien thoai Samsung Galaxy A55 12GB/128GB - Moi 100%,samsung,Galaxy A55,12GB,128GB,31410000.0,30410000.0,Con hang,Moi 100%,CellphoneS,2026-06-11
